car_ID;symboling;CarName;fueltype;aspiration;doornumber;carbody;drivewheel;enginelocation;wheelbase;carlength;carwidth;carheight;curbweight;enginetype;cylindernumber;enginesize;fuelsystem;boreratio;stroke;compressionratio;horsepower;peakrpm;citympg;highwaympg;price;;
184;2;volkswagen 1131 deluxe sedan;gas;std;two;sedan;fwd;front;973;1717;655;557;2209;ohc;four;109;mpfi;319;34;9;85;5250;27;34;7975;;
185;2;volkswagen model 111;diesel;std;four;sedan;fwd;front;973;1717;655;557;2264;ohc;four;97;idi;301;34;23;52;4800;37;46;7995;;
186;2;volkswagen type 3;gas;std;four;sedan;fwd;front;973;1717;655;557;2212;ohc;four;109;mpfi;319;34;9;85;5250;27;34;8195;;
187;2;volkswagen 411 (sw);gas;std;four;sedan;fwd;front;973;1717;655;557;2275;ohc;four;109;mpfi;319;34;9;85;5250;27;34;8495;;
188;2;volkswagen super beetle;diesel;turbo;four;sedan;fwd;front;973;1717;655;557;2319;ohc;four;97;idi;301;34;23;68;4500;37;42;9495;;
189;2;volkswagen dasher;gas;std;four;sedan;fwd;front;973;1717;655;557;2300;ohc;four;109;mpfi;319;34;10;100;5500;26;32;9995;;
190;3;vw dasher;gas;std;two;convertible;fwd;front;945;1593;642;556;2254;ohc;four;109;mpfi;319;34;85;90;5500;24;29;11595;;
191;3;vw rabbit;gas;std;two;hatchback;fwd;front;945;1657;64;514;2221;ohc;four;109;mpfi;319;34;85;90;5500;24;29;9980;;
192;0;volkswagen rabbit;gas;std;four;sedan;fwd;front;1004;1802;669;551;2661;ohc;five;136;mpfi;319;34;85;110;5500;19;24;13295;;
193;0;volkswagen rabbit custom;diesel;turbo;four;sedan;fwd;front;1004;1802;669;551;2579;ohc;four;97;idi;301;34;23;68;4500;33;38;13845;;
194;0;volkswagen dasher;gas;std;four;wagon;fwd;front;1004;1831;669;551;2563;ohc;four;109;mpfi;319;34;9;88;5500;25;31;12290;;
195;-2;volvo 145e (sw);gas;std;four;sedan;rwd;front;1043;1888;672;562;2912;ohc;four;141;mpfi;378;315;95;114;5400;23;28;12940;;
196;-1;volvo 144ea;gas;std;four;wagon;rwd;front;1043;1888;672;575;3034;ohc;four;141;mpfi;378;315;95;114;5400;23;28;13415;;
197;-2;volvo 244dl;gas;std;four;sedan;rwd;front;1043;1888;672;562;2935;ohc;four;141;mpfi;378;315;95;114;5400;24;28;15985;;
198;-1;volvo 245;gas;std;four;wagon;rwd;front;1043;1888;672;575;3042;ohc;four;141;mpfi;378;315;95;114;5400;24;28;16515;;
199;-2;volvo 264gl;gas;turbo;four;sedan;rwd;front;1043;1888;672;562;3045;ohc;four;130;mpfi;362;315;75;162;5100;17;22;18420;;
200;-1;volvo diesel;gas;turbo;four;wagon;rwd;front;1043;1888;672;575;3157;ohc;four;130;mpfi;362;315;75;162;5100;17;22;18950;;
201;-1;volvo 145e (sw);gas;std;four;sedan;rwd;front;1091;1888;689;555;2952;ohc;four;141;mpfi;378;315;95;114;5400;23;28;16845;;
202;-1;volvo 144ea;gas;turbo;four;sedan;rwd;front;1091;1888;688;555;3049;ohc;four;141;mpfi;378;315;87;160;5300;19;25;19045;;
203;-1;volvo 244dl;gas;std;four;sedan;rwd;front;1091;1888;689;555;3012;ohcv;six;173;mpfi;358;287;88;134;5500;18;23;21485;;
204;-1;volvo 246;diesel;turbo;four;sedan;rwd;front;1091;1888;689;555;3217;ohc;six;145;idi;301;34;23;106;4800;26;27;22470;;
205;-1;volvo 264gl;gas;turbo;four;sedan;rwd;front;1091;1888;689;555;3062;ohc;four;141;mpfi;378;315;95;114;5400;19;25;22625;;
